nome;lon;lat;endereco
Comida & Prosa;-43.9596669;-19.9305226;Av. Francisco Sá, 306 , Belo Horizonte - MG, 30411-145
Companhia do Dino;-43.9332774;-19.8396478;Avenida Joaquim Clemente, 682 , Floramar, Belo Horizonte - MG, 31840-340
Conectados Bar;-43.9590824;-19.9229528;Av. Francisco Sá, 280 , Prado, Belo Horizonte - MG, 30411-145
COSMOS;-43.9086241;-19.8899984;R. Vicente Risola, 1305 , Santa Inês, Belo Horizonte - MG, 31080-160
Dona Dora;-43.9404836;-19.925814;R. Rio de Janeiro, 1205 , Centro, Belo Horizonte - MG, 30160-041
Dona Ju Gastro Bar;-43.8800892;-19.8446301;Rua dos Borges, 1520  , Jardim Vitória, Belo Horizonte - MG, 31975-270
Dona Suica;-43.9675696;-19.8204997;Av. João Samaha, 390 , São João Batista (Venda Nova), Belo Horizonte - MG, 31520-100
Empório Laís;-43.9468716;-19.8900825;Rua Olavo Andrade, 195 , Belo Horizonte - MG, 31130-270
Espetinho do Boi;-44.0133834;-19.9810622;R. São Paulo da Cruz, 357 , Barreiro, Belo Horizonte - MG, 30642-060
Espetinho do Tilias;-43.9839421;-19.8000554;Praça Manoel Batista Baía, 235  , Belo Horizonte - MG, 31660-190
Espetinho Rei e Família;-43.977372;-19.8388542;Av. Guarapari, 1281 ,  Belo Horizonte - MG, 31560-300
Espetinho São Pedro QUIÓ;-43.9313917;-19.9481585;Rua Cristina, 870 , Belo Horizonte - MG, 30330-130
Espettinho.com;-43.9751097;-19.9756214;R. Eli Seabra Filho, 510 , Buritis, Belo Horizonte - MG, 30575-740
Galpão Flor do Campo;-43.9068762;-19.9206937;Rua Coronel Otávio Diniz, 449 , Belo Horizonte - MG, 30270-360
Garagge Vintage;-43.9547337;-19.8315762;Av. Doutor Cristiano Guimarães, 1258 , Planalto, Belo Horizonte - MG, 31720-300
Geraldin da Cida;-43.968268;-19.936342;Rua Contria, 1459 , Grajaú, Belo Horizonte - MG, 30431-245
